Currency,Date,Open,High,Low,Close,Volume,Market Cap,Name
BTC,"Feb 16, 2021",47944.4580072800,50341.10325,47201.30375,49199.87134,7.704958289e+10,9.166234183e+11,bitcoin
BTC,"Feb 17, 2021",49207.2764323300,52533.91431,49072.37714,52149.00754,8.08205454e+10,9.716116265e+11,bitcoin
BTC,"Feb 18, 2021",52140.9727165600,52474.10725,51015.76455,51679.79669,5.205472358e+10,9.62915078e+11,bitcoin
BTC,"Feb 19, 2021",51675.9812851300,56113.65055,50937.27572,55888.13368,6.349549692e+10,1.041380697e+12,bitcoin
BTC,"Feb 20, 2021",55887.3357135800,57505.22819,54626.55978,56099.52051,6.814546003e+10,1.045371088e+12,bitcoin
BTC,"Feb 21, 2021",56068.5682455100,58330.57214,55672.60951,57539.94367,5.189758519e+10,1.072263295e+12,bitcoin
BTC,"Feb 22, 2021",57532.7388640700,57533.38933,48967.56519,54207.31907,9.205242033e+10,1.010205213e+12,bitcoin
BTC,"Feb 23, 2021",54204.9297557800,54204.92976,45290.59027,48824.42687,1.061024928e+11,9.099258545e+11,bitcoin
BTC,"Feb 24, 2021",48835.0876611200,51290.13669,47213.49816,49705.33332,6.369552139e+10,9.263930908e+11,bitcoin
BTC,"Feb 25, 2021",49709.0824247600,51948.96698,47093.85302,47093.85302,5.450656595e+10,8.777661261e+11,bitcoin
BTC,"Feb 26, 2021",47180.4640539000,48370.78526,44454.84211,46339.76008,3.509679415e+11,8.637522751e+11,bitcoin
BTC,"Feb 27, 2021",46344.7722373400,48253.2701,45269.02577,46188.45128,4.591094638e+10,8.609781354e+11,bitcoin
BTC,"Feb 28, 2021",46194.0163518600,46716.43099,43241.61823,45137.77047,5.344388745e+10,8.414289775e+11,bitcoin
BTC,"Mar 01, 2021",45159.5030525300,49784.01529,45115.09311,49631.24137,5.389130011e+10,9.252355279e+11,bitcoin
BTC,"Mar 02, 2021",49612.1070374800,50127.50988,47228.84535,48378.98805,4.753089772e+10,9.019336833e+11,bitcoin
BTC,"Mar 03, 2021",48415.8149783000,52535.13578,48274.3205,50538.24341,5.322081197e+10,9.422365769e+11,bitcoin
BTC,"Mar 04, 2021",50522.3050303600,51735.09105,47656.92905,48561.16615,5.234381668e+10,9.054141048e+11,bitcoin
BTC,"Mar 05, 2021",48527.0319807400,49396.43086,46542.51494,48927.30455,4.862592888e+10,9.122850657e+11,bitcoin
BTC,"Mar 06, 2021",48899.2307821300,49147.21822,47257.52691,48912.38173,3.436356466e+10,9.12054166e+11,bitcoin
BTC,"Mar 07, 2021",48918.6802649000,51384.36601,48918.68026,51206.69295,4.313745938e+10,9.548809546e+11,bitcoin
BTC,"Mar 08, 2021",51174.1169466000,52314.0688,49506.05346,52246.52231,4.859742805e+10,9.743218836e+11,bitcoin
BTC,"Mar 09, 2021",52272.9697819400,54824.11781,51981.83131,54824.11781,5.091222738e+10,1.022439973e+12,bitcoin
BTC,"Mar 10, 2021",54824.0111991700,57258.25498,53290.89117,56008.5494,5.729557761e+10,1.044580057e+12,bitcoin
BTC,"Mar 11, 2021",55963.1800885800,58091.0627,54484.59309,57805.12302,5.677234359e+10,1.078135604e+12,bitcoin
BTC,"Mar 12, 2021",57821.2187474600,57996.61949,55376.65009,57332.08896,5.56899447e+10,1.069366322e+12,bitcoin
BTC,"Mar 13, 2021",57343.3702473900,61683.86401,56217.97238,61243.08477,6.066982981e+10,1.142369159e+12,bitcoin
BTC,"Mar 14, 2021",61221.1342970400,61597.9184,59302.31698,59302.31698,4.390122556e+10,1.106226133e+12,bitcoin
BTC,"Mar 15, 2021",59267.4290492000,60540.99271,55393.16536,55907.20023,6.641936989e+10,1.042946025e+12,bitcoin
BTC,"Mar 16, 2021",55840.7865143700,56833.17978,53555.02774,56804.90123,5.97497986e+10,1.059745818e+12,bitcoin
BTC,"Mar 17, 2021",56825.8288975600,58969.81635,54528.62717,58870.89333,6.025831319e+10,1.098337655e+12,bitcoin
BTC,"Mar 18, 2021",58893.0780580000,60116.24964,  54253.58,57858.92071,5.5746041e+10,1.079511087e+12,bitcoin
BTC,"Mar 19, 2021",57850.4406398500,59498.37646,56643.70149,58346.65297,4.906387379e+10,1.088666451e+12,bitcoin
BTC,"Mar 20, 2021",58332.2622053800,60031.28697,58213.29736,58313.64261,5.036173122e+10,1.088105222e+12,bitcoin
BTC,"Mar 21, 2021",58309.9130326500,58767.89679,56005.61701,57523.42099,5.194341454e+10,1.073417235e+12,bitcoin
BTC,"Mar 22, 2021",57517.8914883300,58471.47865,54288.15803,54529.14561,5.652145497e+10,1.017595269e+12,bitcoin
BTC,"Mar 23, 2021",54511.6620319800,55985.44014,53470.69338,54738.94493,5.643502391e+10,1.02156348e+12,bitcoin
BTC,"Mar 24, 2021",54710.4890840700,57262.38293,52514.3334,52774.26369,7.056722379e+10,9.849481429e+11,bitcoin
BTC,"Mar 25, 2021",52726.7455686000, 53392.386,50856.56869,51704.16193,6.799981284e+10,9.650287627e+11,bitcoin
BTC,"Mar 26, 2021",51683.0100897000,55137.31373,51579.85506,55137.31373,5.665219798e+10,1.029150697e+12,bitcoin
BTC,"Mar 27, 2021",55137.5672370200,56568.21605,54242.90968,55973.51084,4.726654223e+10,1.044814147e+12,bitcoin
BTC,"Mar 28, 2021",55974.9411869600,56610.31197,55071.11199,55950.74577,4.768658092e+10,1.044446559e+12,bitcoin
BTC,"Mar 29, 2021",55947.8989665000,58342.09641,55139.34176,57750.19987,5.762558703e+10,1.078088296e+12,bitcoin
BTC,"Mar 30, 2021",57750.1328427300,59447.22403,57251.55061,58917.69305,5.441411643e+10,1.099939891e+12,bitcoin
BTC,"Mar 31, 2021",58930.2777839300,59930.02716,57726.41877,58918.83271,6.552082623e+10,1.100016787e+12,bitcoin
BTC,"Apr 01, 2021",58926.5641473400,59586.07225,58505.27905,59095.80798,6.166916379e+10,1.103377831e+12,bitcoin
BTC,"Apr 02, 2021",59098.8790703600,60267.18765,58869.27997,59384.31336,5.872786062e+10,1.108813863e+12,bitcoin
BTC,"Apr 03, 2021",59397.4084619300,60110.26846,57603.88917,57603.88917,5.964134448e+10,1.075617261e+12,bitcoin
BTC,"Apr 04, 2021",57604.8386177600,58913.74779,57168.67578,58758.55629,5.074966297e+10,1.09723266e+12,bitcoin
BTC,"Apr 05, 2021",58760.8732612100,59891.29691,57694.82602,59057.87897,6.070627211e+10,1.10288079e+12,bitcoin
BTC,"Apr 06, 2021",59171.9320222400,59479.57855,57646.80889,58192.35868,6.605802799e+10,1.086769183e+12,bitcoin
BTC,"Apr 07, 2021",58186.5085339800,58731.1429,55604.02359,56048.93781,7.564530358e+10,1.046793055e+12,bitcoin
BTC,"Apr 08, 2021",56099.9131107800,58338.73823,55879.0842,58323.95358,5.305385564e+10,1.089334328e+12,bitcoin
BTC,"Apr 09, 2021",58326.5636198400,58937.04652,57807.86384, 58245.003,4.665520855e+10,1.087911058e+12,bitcoin
BTC,"Apr 10, 2021",58253.7768088600,61276.66537,58038.70628,59793.23541,5.823847053e+10,1.116889803e+12,bitcoin
BTC,"Apr 11, 2021",59846.2307855800,60790.55532,59289.79563,60204.96491,4.628025258e+10,1.124635849e+12,bitcoin
BTC,"Apr 12, 2021",60175.9447571100,61253.03692,59589.87376,59893.45189,5.182868852e+10,1.118871072e+12,bitcoin
BTC,"Apr 13, 2021",59890.0177903300,63742.28334,59869.95629,63503.45793,6.998345436e+10,1.186364044e+12,bitcoin
BTC,"Apr 14, 2021",63523.7548692700,64863.09891,61554.79669,63109.69593,7.745177969e+10,1.179061094e+12,bitcoin
BTC,"Apr 15, 2021",63075.1962209300,63821.67219,62208.96437,63314.01085,6.095438158e+10,1.182945493e+12,bitcoin
BTC,"Apr 16, 2021",63258.5051743800,63594.72091,60222.53208,61572.7896,8.429300747e+10,1.150457157e+12,bitcoin
BTC,"Apr 17, 2021",61529.9209973400,62572.17605,60361.35218,60683.82123,6.61387592e+10,1.133882479e+12,bitcoin
BTC,"Apr 18, 2021",60701.8860933100,61057.45651,52829.53593, 56216.185,9.746887276e+10,1.050445402e+12,bitcoin
BTC,"Apr 19, 2021",56191.5841095000,57520.05478,54368.59366,55724.2671,6.534486516e+10,1.041287672e+12,bitcoin
BTC,"Apr 20, 2021",55681.7925107400,57062.15025,53448.04838,56473.03228,6.784932396e+10,1.055323527e+12,bitcoin
BTC,"Apr 21, 2021",56471.1277192300,56757.97159,53695.47033,53906.08805,5.492661247e+10,1.007389534e+12,bitcoin
BTC,"Apr 22, 2021",53857.1068948300,55410.22866,50583.81406,51762.27205,7.479863078e+10,9.673724724e+11,bitcoin
BTC,"Apr 23, 2021",51739.8069296600,52120.79165,47714.66215,51093.65071,8.666866732e+10,9.549192301e+11,bitcoin
BTC,"Apr 24, 2021",51143.2262746300,51167.56336,48805.2847,50050.86822,4.901449478e+10,9.354716482e+11,bitcoin
BTC,"Apr 25, 2021",50052.8316489300,50506.0191,47159.48584,49004.25326,4.611711424e+10,9.159559433e+11,bitcoin
BTC,"Apr 26, 2021",49077.7923630200,54288.00216,48852.79684,54021.75479,5.828403982e+10,1.009780043e+12,bitcoin
BTC,"Apr 27, 2021",54030.3037184800,55416.96406,53319.18665,55033.11801,4.944822276e+10,1.02873336e+12,bitcoin
BTC,"Apr 28, 2021",55036.6374194700,56227.20565,53887.91782,54824.7049,4.800057295e+10,1.024888209e+12,bitcoin
BTC,"Apr 29, 2021",54858.0914922200,55115.84415,52418.02845,53555.10849,4.608892978e+10,1.001193634e+12,bitcoin
BTC,"Apr 30, 2021",53568.6635836900,57900.71999,53129.60088,57750.17735,5.239593198e+10,1.079669884e+12,bitcoin
BTC,"May 01, 2021",57714.6648583500,58448.33881,57052.27418,57828.05063,4.283642736e+10,1.081174515e+12,bitcoin
BTC,"May 02, 2021",57825.8628195500,57902.59217,56141.90652,56631.07741,3.817740534e+10,1.058862005e+12,bitcoin
BTC,"May 03, 2021",56620.2726201100,58973.30843,56590.86914,57200.29122,5.171313903e+10,1.069563935e+12,bitcoin
BTC,"May 04, 2021",57214.1787612100,57214.17876,53191.42503,53333.53775,6.856470697e+10,9.973241426e+11,bitcoin
BTC,"May 05, 2021",53252.1647612500,57911.3636,52969.05536,57424.00595,6.924131675e+10,1.073873013e+12,bitcoin
BTC,"May 06, 2021",57441.3070841700,58363.31462,55382.5061,56396.51416,6.952328511e+10,1.054714919e+12,bitcoin
BTC,"May 07, 2021",56413.9535512500,58606.63397,55321.84671,57356.40188,6.843402338e+10,1.072727435e+12,bitcoin
BTC,"May 08, 2021",57352.7659529000,59464.61249,56975.21065,58803.77581,6.538298063e+10,1.099863941e+12,bitcoin
BTC,"May 09, 2021",58877.3886984000,59210.88179,56482.00355,58232.31614,6.590669035e+10,1.089244558e+12,bitcoin
BTC,"May 10, 2021",58250.8725309400,59519.35443,54071.45538,55859.79754,7.17765463e+10,1.044927338e+12,bitcoin
BTC,"May 11, 2021",55847.2410421100,56872.54492,54608.65246,56704.57306,6.130839633e+10,1.060790877e+12,bitcoin
BTC,"May 12, 2021",56714.5331673800,57939.36241,49150.53388,49150.53388,7.521540391e+10,9.195278479e+11,bitcoin
BTC,"May 13, 2021",49735.4320646700,51330.84359,46980.01875,49716.1916,9.672115293e+10,9.301610101e+11,bitcoin
BTC,"May 14, 2021",49682.9818555000,51438.11908,48868.57829,49880.53342,5.573749745e+10,9.332769013e+11,bitcoin
BTC,"May 15, 2021",49855.4946501100,50639.66533,46664.14187,46760.18656,5.916104747e+10,8.749310197e+11,bitcoin
BTC,"May 16, 2021",46716.6379875900,49720.04462,43963.35019,46456.05847,6.404787156e+10,8.692790765e+11,bitcoin
BTC,"May 17, 2021",46415.8992541200,46623.55823,42207.28811,43537.51139,7.490363845e+10,8.147016465e+11,bitcoin
BTC,"May 18, 2021",43488.0579881900,45812.45841,42367.83145,42909.40093,5.618736508e+10,8.029743469e+11,bitcoin
BTC,"May 19, 2021",42944.9754473100,43546.11648,30681.49691,37002.44047,1.263580987e+11,6.924525701e+11,bitcoin
BTC,"May 20, 2021",36753.6697080200,42462.98499,35050.61582,40782.73826,8.828194336e+10,7.63195929e+11,bitcoin
BTC,"May 21, 2021",40596.9483225200,42172.17362,33616.45388,37304.69067,8.205161686e+10,6.981087898e+11,bitcoin
BTC,"May 22, 2021",37371.0299062900,38831.05444,35383.68375,37536.63111,5.737727324e+10,7.024492536e+11,bitcoin
BTC,"May 23, 2021",37531.4484526000,38289.21812,31227.33943,34770.58362,7.846927436e+10,6.506862707e+11,bitcoin
BTC,"May 24, 2021",34700.3635680000,39835.13983,34551.08055,38705.97864,6.73595841e+10,7.243320724e+11,bitcoin
BTC,"May 25, 2021",38795.7802497000,39776.3498,36581.42892,38402.22385,5.62119158e+10,7.188293774e+11,bitcoin
BTC,"May 26, 2021",38392.6236558200,40782.07818,37905.83485,39294.19738,5.134673516e+10,7.355564112e+11,bitcoin
BTC,"May 27, 2021",39316.8896781800,40379.61767,37247.90368,38436.96854,4.321096872e+10,7.195381291e+11,bitcoin
BTC,"May 28, 2021",38507.0830753700,38856.96789,34779.03943,35697.60639,5.520019195e+10,6.682839301e+11,bitcoin
BTC,"May 29, 2021",35684.1568817000,37234.49848,33693.92946, 34616.068,4.523101333e+10,6.480610132e+11,bitcoin
BTC,"May 30, 2021",34607.4059791400,36400.66888,33520.73796,35678.1292,3.164608092e+10,6.679766384e+11,bitcoin
BTC,"May 31, 2021",35658.5929570700,37468.24899,34241.94356,37332.85369,3.900984764e+10,6.989904862e+11,bitcoin
BTC,"Jun 01, 2021",37293.7923744700,37896.73619,35787.08597,36684.92452,3.46394233e+10,6.868910212e+11,bitcoin
BTC,"Jun 02, 2021",36699.9229198200,38231.33918,35966.30716,37575.17958,3.307086719e+10,7.035996714e+11,bitcoin
